tank,group,corr_pH
8,H,8.075195437
8,C,8.069245
32,B,8.06351
16,A,8.06165
3,I,8.058163836
26,E,8.053125
3,D,8.04584
26,J,8.042168146
32,G,7.824732455
16,F,7.823796757
9,C,7.80404
29,B,7.799855
21,A,7.785905
24,E,7.771955
4,D,7.75134
29,G,7.590503758
21,F,7.586492732
9,H,7.566331234
24,J,7.551843913
19,A,7.547515
4,I,7.532214578
13,C,7.530775
25,E,7.52814
6,D,7.52628
31,B,7.514655
31,G,7.361092519
19,F,7.35313312
13,H,7.338145012
6,I,7.330795959
10,C,7.31331
30,B,7.312225
27,E,7.31114
25,J,7.310810646
17,A,7.30928
5,D,7.289285
10,H,7.171440667
17,F,7.167229252
27,J,7.16350699
30,G,7.156885574
5,I,7.148468489
35,B,7.068255
11,C,7.063915
18,A,7.055545
22,E,7.05477
1,D,7.03803
18,F,6.874572712
11,H,6.872624944
22,J,6.869001252
35,G,6.858831111
1,I,6.846597006
12,C,6.73516
28,E,6.729735
33,B,6.72586
20,A,6.720435
7,D,6.706795
33,G,6.568991572
20,F,6.557807849
12,H,6.547555417
7,I,6.53691733
28,J,6.526910648
34,B,6.476
15,A,6.47383
14,C,6.473365
23,E,6.468715
2,D,6.462205
15,F,6.419832236
34,G,6.417671531
23,J,6.402688967
14,H,6.402523371
2,I,6.38749919